ImageName,GT_Index,Prob_Of_Softmax,SoftMaxPredict,Prob_Of_Openmax,OpenMaxPredict
./S_P_OpenSet\1001\sp_detail_n01641206_1.mat,1000,0.8499675,32,0.856306188534246,32
./S_P_OpenSet\1001\sp_detail_n01641206_10003.mat,1000,0.23447454,118,0.23610731450289987,118
./S_P_OpenSet\1001\sp_detail_n01641206_10015.mat,1000,0.15192184,67,0.15350343488425341,66
./S_P_OpenSet\1001\sp_detail_n01641206_10022.mat,1000,0.18901995,357,0.1794092417015329,357
./S_P_OpenSet\1001\sp_detail_n01641206_10025.mat,1000,0.92998016,32,0.9361768010940976,32
./S_P_OpenSet\1001\sp_detail_n01641206_1005.mat,1000,0.25862706,30,0.2411205071411576,30
./S_P_OpenSet\1001\sp_detail_n01641206_10052.mat,1000,0.2147059,33,0.1300509254529496,33
./S_P_OpenSet\1001\sp_detail_n01641206_10054.mat,1000,0.35953912,741,0.9999439257930121,1000
./S_P_OpenSet\1001\sp_detail_n01641206_10067.mat,1000,0.105821475,24,0.9971722737236528,1000
./S_P_OpenSet\1001\sp_detail_n01641206_1008.mat,1000,0.08074096,38,0.08039801169559949,38
./S_P_OpenSet\1001\sp_detail_n01641206_10085.mat,1000,0.4207012,32,0.4292017374612591,32
./S_P_OpenSet\1001\sp_detail_n01641206_10122.mat,1000,0.27289146,32,0.2545255675442538,32
./S_P_OpenSet\1001\sp_detail_n01641206_10142.mat,1000,0.21910986,32,0.22382078243205555,32
./S_P_OpenSet\1001\sp_detail_n01641206_10185.mat,1000,0.22441351,32,0.17873215760765243,32
./S_P_OpenSet\1001\sp_detail_n01641206_10189.mat,1000,0.23460884,316,0.23152023375647324,316
./S_P_OpenSet\1001\sp_detail_n01641206_1020.mat,1000,0.20281851,32,0.21806000822417332,32
./S_P_OpenSet\1001\sp_detail_n01641206_1021.mat,1000,0.61253434,32,0.6447358891383355,32
./S_P_OpenSet\1001\sp_detail_n01641206_10224.mat,1000,0.8885435,32,0.8945482696194377,32
./S_P_OpenSet\1001\sp_detail_n01641206_10236.mat,1000,0.6843432,32,0.7267679308750645,32
./S_P_OpenSet\1001\sp_detail_n01641206_10254.mat,1000,0.34610513,43,0.34541876553088274,43
./S_P_OpenSet\1001\sp_detail_n01641206_10255.mat,1000,0.14381096,36,0.14759879889295302,36
./S_P_OpenSet\1001\sp_detail_n01641206_10276.mat,1000,0.38150725,119,0.3873260476022799,119
./S_P_OpenSet\1001\sp_detail_n01641206_10284.mat,1000,0.22999425,39,0.23369665192792866,39
./S_P_OpenSet\1001\sp_detail_n01641206_10322.mat,1000,0.14294448,44,0.10847659145352277,113
./S_P_OpenSet\1001\sp_detail_n01641206_10328.mat,1000,0.1725094,61,0.18854717663988366,61
./S_P_OpenSet\1001\sp_detail_n01641206_10337.mat,1000,0.5292381,30,0.5386756247997997,30
./S_P_OpenSet\1001\sp_detail_n01641206_10349.mat,1000,0.6781162,32,0.6958996984558288,32
./S_P_OpenSet\1001\sp_detail_n01641206_10359.mat,1000,0.054453157,994,0.057405199777463646,994
./S_P_OpenSet\1001\sp_detail_n01641206_10381.mat,1000,0.3438153,67,0.31463255378934474,67
./S_P_OpenSet\1001\sp_detail_n01641206_10394.mat,1000,0.28225708,32,0.26570592302318147,32
./S_P_OpenSet\1001\sp_detail_n01641206_10404.mat,1000,0.3608106,32,0.3758443891843296,32
./S_P_OpenSet\1001\sp_detail_n01641206_10465.mat,1000,0.6491906,31,0.6694276054906946,31
./S_P_OpenSet\1001\sp_detail_n01641206_10479.mat,1000,0.12064157,32,0.12129818768071184,32
./S_P_OpenSet\1001\sp_detail_n01641206_10489.mat,1000,0.20746443,32,0.21516146004425374,32
./S_P_OpenSet\1001\sp_detail_n01641206_10498.mat,1000,0.36990076,888,0.8074332583849338,1000
./S_P_OpenSet\1001\sp_detail_n01641206_10500.mat,1000,0.5196682,43,0.5645750127718637,43
./S_P_OpenSet\1001\sp_detail_n01641206_10507.mat,1000,0.24064136,32,0.2666559416379183,32
./S_P_OpenSet\1001\sp_detail_n01641206_10529.mat,1000,0.42542252,58,0.24475772608805474,30
