ImageName,GT_Index,Prob_Of_Softmax,SoftMaxPredict,Prob_Of_Openmax,OpenMaxPredict
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00000293.mat,0,0.4331383,0,0.42143656059263296,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00000756.mat,0,0.47765297,278,0.4858257065386806,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00001260.mat,0,0.7088149,277,0.6848863968677181,277
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00002138.mat,0,0.30883276,758,0.30843492707659836,758
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00002147.mat,0,0.50081,277,0.4680616299900027,277
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00002881.mat,0,0.3507418,277,0.20159923498702642,277
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00003014.mat,0,0.17337576,0,0.07377430843911899,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00005613.mat,0,0.48901358,279,0.4338035235504158,279
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00006145.mat,0,0.45546532,278,0.468476378331064,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00006183.mat,0,0.8244163,271,0.80669029402624,271
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00006697.mat,0,0.99229735,0,0.9926510806678104,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00007197.mat,0,0.99992484,0,0.999938064086734,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00007406.mat,0,0.64418447,278,0.7060119322785074,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00008631.mat,0,0.5015702,277,0.604418643623842,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00008726.mat,0,0.732304,278,0.8069924918517822,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00009111.mat,0,0.17491461,0,0.16555509580469166,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00009128.mat,0,0.9418535,278,0.9544682976986723,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00009191.mat,0,0.96205485,0,0.9619715441667658,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00009336.mat,0,0.72144616,278,0.7365881840282908,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00009346.mat,0,0.9565339,0,0.9537848098882172,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00009379.mat,0,0.9991089,0,0.9991019638544989,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00009396.mat,0,0.9996918,0,0.9996841078595191,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00009503.mat,0,0.60106313,278,0.7061779017230119,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00010306.mat,0,0.2162848,12,0.22673682244501953,12
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00011233.mat,0,0.999921,0,0.9999242226317738,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00011624.mat,0,0.76484907,278,0.7909766777165939,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00011993.mat,0,0.9994017,0,0.9994038564171364,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00012503.mat,0,0.9765792,0,0.9769528685287125,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00013716.mat,0,0.9936013,0,0.9939947506482392,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00014861.mat,0,0.9516552,277,0.6533434062829435,277
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00015800.mat,0,0.47865993,278,0.45112231608873443,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00016018.mat,0,0.96246755,0,0.9567093630446214,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00016254.mat,0,0.3240487,278,0.36063742064588655,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00016385.mat,0,0.3543263,277,0.41720507896090925,293
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00017444.mat,0,0.8026565,278,0.8141824651124472,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00017472.mat,0,0.99985725,0,0.9998604300881342,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00017699.mat,0,0.9995245,0,0.9995244255021026,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00017700.mat,0,0.9999784,0,0.9999790715749105,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00017881.mat,0,0.55446625,278,0.5702933880652357,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00017995.mat,0,0.74812335,0,0.7481020051982881,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00018313.mat,0,0.3183698,272,0.3255127413394908,272
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00018317.mat,0,0.75770754,0,0.7294418743410997,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00018821.mat,0,0.47783026,280,0.43058007483204824,280
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00021044.mat,0,0.37665066,274,0.4315052135942743,274
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00021231.mat,0,0.36169425,271,0.392993239133007,271
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00021730.mat,0,0.608903,277,0.5709293351884877,277
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00021740.mat,0,0.8416649,0,0.7770730587383223,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00021899.mat,0,0.42423302,278,0.43397217590444803,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00023559.mat,0,0.9999139,0,0.999918728234759,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00023924.mat,0,0.9053124,280,0.8289466867725123,280
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00024235.mat,0,0.9988076,0,0.9989693876794785,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00024327.mat,0,0.99998647,0,0.9999865856186441,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00024529.mat,0,0.6232649,330,0.750611943090503,1000
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00025129.mat,0,0.86782205,0,0.5184978373243221,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00025527.mat,0,0.9988632,0,0.9992613235033859,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00025957.mat,0,0.6521529,278,0.6813921726255262,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00026064.mat,0,0.15406212,0,0.10070937260333408,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00026397.mat,0,0.8489233,0,0.8299005910753188,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00027842.mat,0,0.5036967,278,0.5363525909013556,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00028158.mat,0,0.08587267,6,0.5346023738280159,1000
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00028623.mat,0,0.7728241,278,0.7998769927267817,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00029683.mat,0,0.7621201,278,0.7731306413397667,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00029930.mat,0,0.9977644,0,0.9977326068253027,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00030573.mat,0,0.5258347,278,0.5538449542257401,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00030740.mat,0,0.39302018,0,0.38014074659315933,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00031094.mat,0,0.23122022,491,0.24289811783047027,491
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00031333.mat,0,0.99915904,0,0.9991605928398967,0
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00032528.mat,0,0.32303393,280,0.31534948108138944,280
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00033561.mat,0,0.7574842,278,0.7853503619056802,278
./S_P_CloseSet\n01440764\sp_detail_ILSVRC2012_val_00033890.mat,0,0.3676335,278,0.393817748300161,278
